---------------------------------------------------------------------------------------|
                           |     1           2           3           4           5     |
---------------------------------------------------------------------------------------|
a                          |    46     |    94     |    133    |    184    |    198    |
abajo                      |     0     |     1     |     0     |     0     |     1     |
abandonado                 |     0     |     0     |     1     |     2     |     0     |
abandonar                  |     0     |     1     |     0     |     1     |     0     |
abandonó                   |     0     |     0     |     0     |     1     |     0     |
abarca                     |     1     |     0     |     0     |     0     |     0     |
abdominales                |     1     |     0     |     0     |     0     |     0     |
abierta                    |     0     |     0     |     1     |     0     |     1     |
abierto                    |     0     |     1     |     2     |     0     |     0     |
abocado                    |     0     |     0     |     0     |     2     |     0     |
abogado                    |     0     |     0     |     0     |     0     |     3     |
aborda                     |     0     |     0     |     0     |     0     |     1     |
abordaba                   |     0     |     0     |     0     |     1     |     0     |
abordar                    |     0     |     0     |     0     |     0     |     1     |
abordó                     |     1     |     0     |     0     |     0     |     0     |
abraza                     |     0     |     0     |     0     |     1     |     0     |
abrazar                    |     0     |     0     |     0     |     1     |     1     |
abrazarla.y                |     0     |     0     |     0     |     1     |     0     |
abre                       |     0     |     0     |     0     |     1     |     0     |
abren                      |     0     |     0     |     1     |     0     |     0     |
abril                      |     0     |     0     |     0     |     0     |     1     |
absoluta                   |     0     |     0     |     0     |     0     |     1     |
absolutamente              |     1     |     0     |     1     |     0     |     6     |
absoluto                   |     1     |     0     |     1     |     1     |     2     |
absurda                    |     0     |     1     |     0     |     2     |     0     |
absurdamente               |     0     |     1     |     0     |     0     |     0     |
absurdas                   |     0     |     1     |     0     |     0     |     0     |
absurdo                    |     0     |     1     |     0     |     1     |     0     |
absurdos                   |     0     |     0     |     1     |     0     |     0     |
abu-assad                  |     0     |     0     |     0     |     2     |     0     |
abuela                     |     0     |     1     |     0     |     2     |     0     |
abuelo                     |     0     |     0     |     0     |     2     |     0     |
aburre                     |     1     |     0     |     0     |     0     |     0     |
aburrida                   |     1     |     0     |     0     |     1     |     0     |
aburridos                  |     0     |     0     |     1     |     0     |     0     |
aburrir                    |     0     |     0     |     0     |     2     |     0     |
aburrí                     |     0     |     1     |     0     |     0     |     0     |
acaba                      |     0     |     2     |     1     |     0     |     2     |
acabado                    |     0     |     0     |     1     |     0     |     0     |
acaban                     |     0     |     0     |     1     |     0     |     1     |
acabando                   |     0     |     0     |     0     |     0     |     1     |
acabar                     |     2     |     1     |     0     |     1     |     4     |
acabara                    |     0     |     0     |     0     |     1     |     0     |
acabará                    |     0     |     0     |     0     |     0     |     2     |
acabas                     |     0     |     0     |     0     |     1     |     0     |
acabe                      |     0     |     1     |     0     |     0     |     0     |
acabo                      |     1     |     0     |     0     |     0     |     0     |
acabó                      |     0     |     0     |     0     |     0     |     1     |
académicos                 |     0     |     0     |     0     |     1     |     0     |
acantilados                |     1     |     0     |     0     |     0     |     0     |
acapara                    |     1     |     0     |     0     |     0     |     0     |
acaricia                   |     0     |     0     |     0     |     1     |     0     |
acceder                    |     0     |     0     |     0     |     0     |     1     |
accidental                 |     1     |     0     |     0     |     0     |     0     |
accidente                  |     0     |     0     |     1     |     1     |     0     |
acciones                   |     0     |     0     |     0     |     0     |     1     |
acción                     |     1     |     5     |     2     |     5     |     1     |
aceite                     |     0     |     0     |     0     |     1     |     0     |
acento                     |     0     |     1     |     0     |     0     |     0     |
acepta                     |     0     |     0     |     1     |     0     |     0     |
aceptable                  |     0     |     0     |     0     |     0     |     2     |
aceptar                    |     0     |     0     |     0     |     0     |     1     |
acepte                     |     0     |     0     |     0     |     1     |     0     |
acera                      |     0     |     0     |     0     |     1     |     0     |
acerca                     |     0     |     2     |     1     |     0     |     0     |
acercado                   |     0     |     0     |     0     |     0     |     1     |
acercamiento               |     0     |     0     |     0     |     1     |     0     |
acercan                    |     0     |     0     |     0     |     1     |     0     |
acercarnos                 |     0     |     0     |     0     |     1     |     0     |
acercarse                  |     0     |     0     |     0     |     1     |     1     |
acercándose                |     1     |     0     |     0     |     0     |     0     |
acero                      |     0     |     0     |     0     |     1     |     0     |
acertada                   |     0     |     1     |     0     |     0     |     2     |
acertadas                  |     0     |     0     |     0     |     1     |     0     |
acertado                   |     0     |     0     |     1     |     0     |     2     |
acertados                  |     0     |     1     |     0     |     0     |     0     |
achacarle                  |     0     |     0     |     0     |     1     |     0     |
acierto                    |     0     |     0     |     0     |     0     |     2     |
aclamada                   |     0     |     1     |     0     |     0     |     1     |
acogidas                   |     0     |     0     |     0     |     0     |     1     |
acomodada                  |     0     |     0     |     0     |     1     |     0     |
acompaña                   |     0     |     1     |     0     |     1     |     0     |
acompañaban                |     0     |     1     |     0     |     0     |     0     |
acompañado                 |     0     |     0     |     0     |     2     |     0     |
acompañados                |     0     |     1     |     0     |     0     |     0     |
acompañarán                |     0     |     0     |     0     |     0     |     1     |
acontecido                 |     0     |     0     |     0     |     0     |     1     |
acontecimientos            |     0     |     0     |     1     |     1     |     2     |
acorde                     |     0     |     0     |     1     |     0     |     0     |
acostarse                  |     1     |     0     |     0     |     0     |     0     |
acostumbra                 |     0     |     0     |     0     |     1     |     0     |
acostumbrados              |     0     |     0     |     1     |     0     |     0     |
acostumbran                |     0     |     1     |     0     |     0     |     0     |
activista                  |     0     |     0     |     0     |     1     |     0     |
activo                     |     0     |     0     |     1     |     0     |     0     |
acto                       |     0     |     1     |     0     |     0     |     2     |
actor                      |     1     |     3     |    10     |     4     |    12     |
actoral                    |     0     |     0     |     0     |     1     |     0     |
actores                    |     2     |     3     |     8     |     2     |     6     |
actos                      |     0     |     1     |     0     |     2     |     2     |
actrices                   |     0     |     0     |     0     |     0     |     1     |
actriz                     |     0     |     2     |     0     |     0     |     3     |
actuaciones                |     1     |     1     |     0     |     2     |     6     |
actuación                  |     0     |     3     |     1     |     0     |     4     |
actuado                    |     0     |     0     |     0     |     0     |     1     |
actual                     |     0     |     0     |     1     |     3     |     1     |
actuales                   |     0     |     0     |     2     |     0     |     0     |
actualizada                |     0     |     1     |     0     |     0     |     0     |
actually                   |     0     |     1     |     0     |     1     |     0     |
actualmente                |     0     |     1     |     0     |     1     |     0     |
actuando                   |     0     |     0     |     1     |     0     |     1     |
actúa                      |     0     |     0     |     0     |     0     |     2     |
acuda                      |     0     |     1     |     0     |     0     |     0     |
acude                      |     0     |     1     |     0     |     1     |     0     |
acuden                     |     0     |     0     |     1     |     0     |     0     |
acudido                    |     0     |     0     |     1     |     0     |     0     |
acudirán                   |     0     |     1     |     0     |     0     |     0     |
acudió                     |     0     |     1     |     0     |     0     |     0     |
acuerda                    |     0     |     1     |     0     |     0     |     0     |
acuerdo                    |     0     |     0     |     0     |     2     |     0     |
acuestate                  |     0     |     1     |     0     |     0     |     0     |
acumulacion                |     0     |     0     |     1     |     0     |     0     |
acusada                    |     0     |     0     |     0     |     0     |     1     |
acusado                    |     0     |     0     |     0     |     0     |     3     |
acólitos                   |     1     |     0     |     0     |     0     |     0     |
adam                       |     0     |     4     |     0     |     1     |     0     |
adaptación                 |     0     |     1     |     2     |     0     |     2     |
adaptar                    |     0     |     0     |     0     |     0     |     1     |
adecuada                   |     0     |     0     |     1     |     0     |     0     |
adecuado                   |     0     |     0     |     0     |     1     |     0     |
adecúa                     |     0     |     0     |     0     |     1     |     0     |
adelante                   |     0     |     0     |     0     |     1     |     1     |
además                     |     2     |     6     |     3     |     4     |     4     |
adictivos                  |     1     |     0     |     0     |     0     |     0     |
adicto                     |     0     |     0     |     0     |     1     |     0     |
adivináis                  |     0     |     1     |     0     |     0     |     0     |
adjetivos                  |     0     |     0     |     0     |     0     |     1     |
administra                 |     0     |     0     |     1     |     0     |     0     |
admiración                 |     0     |     0     |     1     |     0     |     0     |
admirada                   |     0     |     0     |     1     |     0     |     0     |
admirador                  |     0     |     1     |     0     |     0     |     0     |
admiro                     |     0     |     0     |     0     |     1     |     2     |
adolece                    |     0     |     0     |     1     |     0     |     0     |
adolecen                   |     0     |     1     |     0     |     0     |     0     |
adolescente                |     1     |     1     |     3     |     1     |     0     |
adolescentes               |     1     |     0     |     0     |     1     |     3     |
